machine_id,cycle,operational_setting_1,operational_setting_2,operational_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
9001,1,0.01537,0.09983,0.0,102.923742,105.982209,108.965669,111.983155,114.984407,117.893836,120.900062,123.902156,126.859729,130.037645,132.993675,135.925761,138.977881,141.982143,144.915581,147.92594,150.883978,153.999727,156.92494,159.831415,163.00823
9001,2,0.03065,0.09931,0.0,103.049453,105.942441,108.887883,112.068247,115.020962,117.996044,121.000792,124.020722,126.945588,129.892682,133.06586,135.898988,139.079687,141.918603,145.005528,147.93594,150.898427,154.108222,157.025648,160.054769,162.930301
9001,3,0.04575,0.09845,0.0,102.993022,106.064056,108.976857,112.013919,114.98722,117.957888,120.936601,124.098772,127.002176,130.121575,132.903587,136.043818,138.865429,141.945496,144.967184,147.97809,151.126518,153.973152,157.107207,160.141931,163.053801
9001,4,0.06057,0.09724,0.0,103.034902,106.027939,108.942669,112.07342,115.052756,118.0496,121.099363,124.122909,127.00913,130.061182,133.074139,135.952762,139.118564,142.11272,145.127651,148.075619,151.073666,153.991168,157.090503,160.061928,163.122377
9001,5,0.07504,0.09571,0.0,103.041931,106.123689,109.041106,112.13256,114.997303,118.030567,121.019576,124.039475,127.001586,130.134483,133.100822,135.932338,139.124824,142.224712,144.896706,148.164694,151.14763,153.881063,157.051592,160.153374,162.874694
9001,6,0.08907,0.09384,0.0,103.097777,106.065147,108.998574,112.096487,115.087166,117.921045,121.162596,124.205931,126.96577,130.125937,133.066522,135.970707,139.13967,142.053671,144.819726,148.20784,151.161541,154.04626,157.144405,160.124531,162.914088
9001,7,0.10256,0.09164,0.0,103.162691,106.085239,108.926632,112.119154,115.094933,117.93706,121.188933,124.127181,126.87928,130.114485,133.157172,135.989459,139.149491,142.064144,144.934551,148.1737,151.25553,153.844146,157.05291,160.195105,162.878418
9001,8,0.11545,0.08913,0.0,103.175061,106.092234,108.958342,112.19147,115.109277,117.895812,121.218987,124.207971,126.942318,130.190088,133.244317,135.949166,139.100294,142.34357,144.76408,148.361424,151.205305,154.005488,157.389333,160.190085,162.914886
9001,9,0.12766,0.08631,0.0,103.237566,106.216699,108.898818,112.227186,115.163519,117.95422,121.143133,124.244433,126.983567,130.122419,133.231868,135.78805,139.276014,142.291846,145.06716,148.216608,151.273664,153.804639,157.230146,160.208925,162.735546
9001,10,0.13912,0.08319,0.0,103.294077,106.169134,108.9583,112.164275,115.192423,117.941917,121.257643,124.315742,126.875798,130.225127,133.227872,135.75421,139.274764,142.381576,144.879331,148.376679,151.350589,153.86797,157.314403,160.357162,162.591779
9001,11,0.14975,0.07979,0.0,103.192568,106.174011,108.903375,112.270401,115.251353,117.848283,121.257298,124.284709,126.891681,130.327607,133.344984,135.827984,139.347113,142.380383,144.747131,148.387383,151.269078,153.768926,157.302874,160.288235,162.798215
9001,12,0.15949,0.0761,0.0,103.252912,106.200901,108.942569,112.232054,115.376843,117.817902,121.262081,124.248649,126.863836,130.313577,133.328578,135.717065,139.316819,142.411154,144.69955,148.275446,151.31077,153.866743,157.444459,160.424956,162.516432
9001,13,0.16829,0.07216,0.0,103.281535,106.271543,108.814044,112.265637,115.30397,117.851869,121.3618,124.312969,126.759749,130.385935,133.355822,135.77711,139.555066,142.482885,144.730789,148.362965,151.368504,153.696244,157.685978,160.35877,162.693384
9001,14,0.1761,0.06796,0.0,103.257796,106.34402,108.876017,112.181723,115.299965,117.820849,121.397848,124.347567,126.573424,130.519516,133.353741,135.711672,139.343242,142.48476,144.638692,148.320126,151.477347,153.627483,157.768814,160.602498,162.451825
9001,15,0.18287,0.06353,0.0,103.197441,106.261311,108.792366,112.257744,115.279699,117.745439,121.34808,124.268179,126.634815,130.440119,133.539673,135.470138,139.605992,142.506713,144.641188,148.399702,151.55149,153.533143,157.763497,160.649529,162.46649
9001,16,0.18855,0.05888,0.0,103.25521,106.315582,108.744567,112.20394,115.439142,117.670554,121.422496,124.30386,126.60785,130.384646,133.44695,135.404119,139.440786,142.736058,144.531192,148.408554,151.553976,153.446186,157.783613,160.641612,162.310193
9001,17,0.19312,0.05403,0.0,103.188728,106.323913,108.76535,112.255129,115.348436,117.655528,121.53781,124.337539,126.508921,130.653114,133.501463,135.495697,139.513002,142.509387,144.478067,148.456826,151.548098,153.437392,157.732067,160.715875,162.137713
9001,18,0.19654,0.04899,0.0,103.299052,106.303739,108.739182,112.29953,115.453202,117.578386,121.511013,124.323527,126.365453,130.555552,133.685457,135.246619,139.649745,142.662774,144.419102,148.463195,151.637908,153.25145,157.675923,160.829112,162.190172
